Date,Open,High,Low,Close,Adj Close,Volume
2023-03-01,146.830002,165.000000,143.899994,164.899994,164.024475,1520266600
2023-04-01,164.270004,169.850006,159.779999,169.679993,168.779099,969709700
2023-05-01,169.279999,179.350006,164.309998,177.250000,176.308914,1275155500
2023-06-01,177.699997,194.479996,176.929993,193.970001,193.207031,1297101100
2023-07-01,193.779999,198.229996,186.600006,196.449997,195.677261,996066400
2023-08-01,196.240005,196.729996,171.960007,187.869995,187.131012,1322439400
2023-09-01,189.490005,189.979996,167.619995,171.210007,170.766830,1337586600
2023-10-01,171.220001,182.339996,165.669998,170.770004,170.327972,1172719600
2023-11-01,171.000000,192.929993,170.119995,189.949997,189.458313,1099586100
2023-12-01,190.330002,199.619995,187.449997,192.529999,192.284637,1062774800
2024-01-01,187.149994,196.380005,180.169998,184.399994,184.164993,1187219300
2024-02-01,183.990005,191.050003,179.250000,183.860001,183.625687,638356500
2024-02-16,183.550003,184.850006,181.860001,183.285004,183.285004,19231650
